member_id|subscriber_id|card_id|family_id|relationship|first_name|middle_name|last_name|member_suffix|dob|gender|address_1|address_2|city|state|zip_code|work_email_address|personal_email_address|home_phone_number|work_phone_number|benefit_plan_id|health_benefit_plan_name|network_code|enrollment_effective_date|enrollment_term_date|eligibility_group_number|eligibility_group_name
88522901600|885229016|885229016|00|18|Judah|A|Punches||19600205|M|6113 KETCHWOOD CT||MILAN|IL|61264|judah.punches@WorkEmail.com|judahapunches@gmail.com|6311798673|4579202756|A|A|PZD|19861001|20331231|PZD8949999|TYPS Holdings North America
88281009000|882810090|882810090|00|18|Amal||Estell||19771123|M|13760 MC CLURE ST||TAYLOR RIDGE|IL|61284|amal.estell@WorkEmail.com||1590149913|4268800420|A|A|PZD|19990101|20331231|PZD8949999|TYPS Holdings North America
88139229500|881392295|881392295|00|18|Gavin||Thrush||19840615|M|1718 PICKETT AVE||GENESEO|IL|61254|gavin.thrush@WorkEmail.com||2274277168|8634546389|A|A|PZD|20131101|20331231|PZD8949999|TYPS Holdings North America
88664511401|886645114|886645114|01|01|Juliet||Brazzle||19650711|F|10970 FLORIDA BLVD||ELDRIDGE|IA|52748|juliet.brazzle@WorkEmail.com||4921442698|6889043124|A|A|PZD|20230101|20331231|PZD8949999|TYPS Holdings North America
88664511400|886645114|886645114|00|18|Charles||Brazzle||19660519|M|10970 FLORIDA BLVD||ELDRIDGE|IA|52748|charles.brazzle@WorkEmail.com||4921442698|1423944751|A|A|PZD|20230101|20331231|PZD8949999|TYPS Holdings North America
88790646200|887906462|887906462|00|18|Lane|L|Wegman||19690923|M|1111 WOODCLIFF DR||GRAND MOUND|IA|52751|lane.wegman@WorkEmail.com|lanelwegman@gmail.com|6763287596|1266904529|A|A|PZD|19950101|20331231|PZD8949999|TYPS Holdings North America
88595315400|885953154|885953154|00|18|Otto|E|Munderville||19810924|M|12401 PARKMEADOW AVE||MOLINE|IL|61265|otto.munderville@WorkEmail.com|ottoemunderville@gmail.com|2139660031|7362422910|A|A|PZD|20070401|20331231|PZD8949999|TYPS Holdings North America
88829731401|888297314|888297314|01|01|Jenna||Hotelling||19650905|F|21716 NOBLE REAMES RD||MUSCATINE|IA|52761|jenna.hotelling@WorkEmail.com||8703689924|4083617674|A|A|PZD|20150101|20331231|PZD8949999|TYPS Holdings North America
88654222701|886542227|886542227|01|01|Teegan||Millikan||19861027|F|14631 SAINT ELIZABETH ST||GENESEO|IL|61254|teegan.millikan@WorkEmail.com||3112608729|8938897349|A|A|PZD|20230401|20331231|PZD8949999|TYPS Holdings North America
88510450401|885104504|885104504|01|01|Holly||Catanach||19690226|F|10836 DURMAST DR||PORT BYRON|IL|61275|holly.catanach@WorkEmail.com||5781304435|1121633434|A|A|PZD|20030701|20331231|PZD8949999|TYPS Holdings North America
88168467801|881684678|881684678|01|01|Nola||Wrzesinski||19861130|F|3915 NORTHSHORE AVE||ALEDO|IL|61231|nola.wrzesinski@WorkEmail.com||4742915262|5533327646|A|A|PZD|20110625|20331231|PZD8949999|TYPS Holdings North America
88418301100|884183011|884183011|00|18|Lamar|R|Landenberger||19640702|M|2214 SHELLEY ST||GENESEO|IL|61254|lamar.landenberger@WorkEmail.com|lamarrlandenberger@gmail.com|4598897742|4401593119|HN|HN|FPO|20191101|20331231|FPO7949699|Barney Healthcare System
88505956800|885059568|885059568|00|18|Alan|D|Brez||19680623|M|11916 QUEENS DR||DAVENPORT|IA|52806|alan.brez@WorkEmail.com|alandbrez@gmail.com|7397165079|5118474201|A|A|PZD|20050401|20331231|PZD8949999|TYPS Holdings North America
88764932901|887649329|887649329|01|01|Teegan||Mintreas||19721008|F|862 N 26TH ST||MOLINE|IL|61265|teegan.mintreas@WorkEmail.com||9384850282|6168490410|A|A|PZD|20230101|20331231|PZD8949999|TYPS Holdings North America
88731283404|887312834|887312834|04|01|Maggy||Betancourth||19810628|F|7124 MELON CT|PO BOX 458|BUFFALO|IA|52728|maggy.betancourth@WorkEmail.com||3335845731|9609789648|A|A|PZD|20140615|20331231|PZD8949999|TYPS Holdings North America
88241326900|882413269|882413269|00|18|Warren|P|Thury|JR|19610618|M|12875 LOVETT RD||CORDOVA|IL|61242|warren.thury@WorkEmail.com|warrenpthury@gmail.com|9784987634|3279127329|B|B|PZD|20210401|20331231|PZD8949999|TYPS Holdings North America
88117060300|881170603|881170603|00|18|Michael||Decost||19711008|M|1160 STANFORD AVE||DAVENPORT|IA|52803|michael.decost@WorkEmail.com||2292356137|6067152512|A|A|PZD|20080401|20331231|PZD8949999|TYPS Holdings North America
88610901600|886109016|886109016|00|18|Chase||Krassow||19761027|M|1321 BRAEBURN DR||ELDRIDGE|IA|52748|chase.krassow@WorkEmail.com||8923583151|8413818147|A|A|PZD|20230401|20331231|PZD8949999|TYPS Holdings North America
88463709401|884637094|884637094|01|01|Nola|K|Hagmaier||19601103|F|4824 VICTORIA DR||SYCAMORE|IL|60178|nola.hagmaier@WorkEmail.com|nolakhagmaier@gmail.com|1243337127|4979889122|A|A|PZD|20000101|20331231|PZD8949999|TYPS Holdings North America
88686331301|886863313|886863313|01|01|Ginger|S|Wootan||19810809|F|4406 HARDING ST||HILLSDALE|IL|61257|ginger.wootan@WorkEmail.com|gingerswootan@gmail.com|2012640666|6038108402|A|A|PZD|20060415|20331231|PZD8949999|TYPS Holdings North America
88583485803|885834858|885834858|03|01|Pascale||Panarella||19770306|F|10313 SPRINGDALE AVE||DEWITT|IA|52742|pascale.panarella@WorkEmail.com||7628544461|3621920263|A|A|PZD|20210309|20331231|PZD8949999|TYPS Holdings North America
88583485800|885834858|885834858|00|18|Arthur||Panarella||19710403|M|10313 SPRINGDALE AVE||DEWITT|IA|52742|arthur.panarella@WorkEmail.com||7628544461|4198258989|A|A|PZD|20200101|20331231|PZD8949999|TYPS Holdings North America
88668252900|886682529|886682529|00|18|Allegra|A|Gorecki||19720105|F|13322 ABRAHAM DR||MOLINE|IL|61265|allegra.gorecki@WorkEmail.com|allegraagorecki@gmail.com|4174727746|8482612250|A|A|PZD|20141001|20331231|PZD8949999|TYPS Holdings North America
88551688600|885516886|885516886|00|18|Steven|J|Kramb||19720907|M|11750 CLOVERLAND CT||COAL VALLEY|IL|61240|steven.kramb@WorkEmail.com|stevenjkramb@gmail.com|9873564168|6107352813|A|A|PZD|20011001|20331231|PZD8949999|TYPS Holdings North America
88597751401|885977514|885977514|01|01|Alexandra|T|Sweatman||19530315|F|4402 PINE PARK DR||ELDRIDGE|IA|52748|alexandra.sweatman@WorkEmail.com|alexandratsweatman@gmail.com|8672129996|8865434569|A|A|PZD|19940101|20331231|PZD8949999|TYPS Holdings North America
88597751400|885977514|885977514|00|18|Oleg|D|Sweatman||19501217|M|4402 PINE PARK DR||ELDRIDGE|IA|52748|oleg.sweatman@WorkEmail.com|olegdsweatman@gmail.com|8672129996|4684279947|A|A|PZD|19720701|20331231|PZD8949999|TYPS Holdings North America
88477185501|884771855|884771855|01|01|Aurelia|J|Delaglio||19590825|F|766 LAKELAND DR||EAST MOLINE|IL|61244|aurelia.delaglio@WorkEmail.com|aureliajdelaglio@gmail.com|1448270687|5315306135|A|A|PZD|19960701|20331231|PZD8949999|TYPS Holdings North America
88534428600|885344286|885344286|00|18|Mohammad|A|Laraia||19631115|M|12226 PARTRIDGEWOOD DR||BETTENDORF|IA|52722|mohammad.laraia@WorkEmail.com|mohammadalaraia@gmail.com|9113436089|6881151748|A|A|PZD|19910401|20331231|PZD8949999|TYPS Holdings North America
88144872000|881448720|881448720|00|18|Colorado||Lust|III|19800228|M|660 LOBDELL BLVD||MORRISON|IL|61270|colorado.lust@WorkEmail.com||8155917786|2495543775|A|A|PZD|20000101|20331231|PZD8949999|TYPS Holdings North America
88188216401|881882164|881882164|01|01|Odessa|R|Delbrocco||19610403|F|12230 CATALINA AVE||MAQUOKETA|IA|52060|odessa.delbrocco@WorkEmail.com|odessardelbrocco@gmail.com|5698751327|4341408000|B|B|PZD|20211001|20331231|PZD8949999|TYPS Holdings North America
88564605103|885646051|885646051|03|01|Rina|E|Edgley||19700118|F|21349 FIELD GLEN DR||PORT BYRON|IL|61275|rina.edgley@WorkEmail.com|rinaeedgley@gmail.com|3048252360|5476778005|A|A|PZD|19991015|20331231|PZD8949999|TYPS Holdings North America
88564605100|885646051|885646051|00|18|Hop||Edgley||19700818|M|21349 FIELD GLEN DR||PORT BYRON|IL|61275|hop.edgley@WorkEmail.com||3048252360|7074746531|A|A|PZD|19910401|20331231|PZD8949999|TYPS Holdings North America
